name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
Maruti 800 Std,2012,11.91839057,76000,Petrol,Individual,Manual,First Owner,16.1,796,37,4
Jeep Compass 1.4 Limited Plus BSIV,2019,14.5574479,5000,Petrol,Individual,Automatic,First Owner,16,1368,160.77,5
Honda City i VTEC VX,2018,13.73754902,28900,Petrol,Dealer,Manual,First Owner,17.8,1497,117.3,5
Honda City V MT,2013,12.95984445,86300,Petrol,Dealer,Manual,First Owner,16.8,1497,116.3,5
Maruti Swift Dzire VXi AT,2018,13.42246797,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197,83.14,5
Maruti Vitara Brezza VDi,2018,13.6170584,32600,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5
Maruti Alto K10 VXI,2018,12.87390202,10300,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5
Toyota Fortuner 4x4 MT,2014,14.22097567,77000,Diesel,Dealer,Manual,First Owner,12.55,2982,168.5,7
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,13.45883561,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100,7
Mercedes-Benz B Class B180,2014,14.18707411,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143,120.7,5
Honda Amaze S Diesel,2015,12.95984445,49800,Diesel,Dealer,Manual,First Owner,24.7,1498,98.63,5
Mitsubishi Pajero Sport 4X4,2013,13.90168825,151000,Diesel,Dealer,Manual,First Owner,13.5,2477,175.56,7
Honda City i DTEC S,2015,13.30468493,54700,Diesel,Dealer,Manual,First Owner,26,1498,98.6,5
Maruti Ciaz Zeta,2018,13.65299163,64000,Petrol,Dealer,Manual,First Owner,20.65,1462,103.25,5
Honda Jazz VX Diesel,2015,13.17115354,63000,Diesel,Dealer,Manual,First Owner,27.3,1498,98.6,5
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,14.31628585,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,7
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,13.76421726,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.6,7
Audi A6 2.0 TDI Technology,2013,14.37512635,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968,174.33,5
Toyota Corolla Altis 1.8 VL CVT,2018,14.27924457,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5
Audi A6 2.0 TDI  Design Edition,2013,14.3402385,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968,187.74,5
Mercedes-Benz New C-Class 220 CDI AT,2013,14.16968237,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143,170,5
Tata Manza ELAN Quadrajet BS IV,2011,12.4874851,120000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,5
Hyundai i10 Magna,2011,12.15477935,110000,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,5
Hyundai i20 Asta 1.4 CRDi,2013,12.95984445,60000,Diesel,Individual,Manual,First Owner,21.27,1396,88.76,5
Maruti Swift Dzire ZDI,2015,13.3534751,147000,Diesel,Individual,Manual,Second Owner,26.59,1248,74,5
Ford Figo 1.2P Titanium MT,2017,13.30468493,25000,Petrol,Individual,Manual,Third Owner,18.16,1196,86.8,5
Maruti Baleno Delta 1.2,2019,13.38472764,30000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,13.19932442,40000,Diesel,Individual,Manual,First Owner,22,1498,108.495,5
Honda City i DTEC VX,2015,13.3534751,135000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,5
Maruti Wagon R AMT VXI,2018,13.01254851,30000,Petrol,Individual,Automatic,First Owner,20.51,998,67,5
Volkswagen Ameo 1.5 TDI Comfortline,2017,13.12236338,80000,Diesel,Individual,Manual,First Owner,21.66,1498,108.62,5
Maruti Vitara Brezza VDi,2016,13.5211395,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
Maruti Vitara Brezza ZDi Plus AMT,2019,13.84020317,9850,Diesel,Individual,Automatic,First Owner,24.3,1248,88.5,5
Hyundai i10 Magna,2011,12.36734079,60000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5
Maruti Swift VDI Deca,2016,13.3534751,70000,Diesel,Individual,Manual,First Owner,25.2,1248,74,5
Toyota Fortuner 4x4 MT,2015,14.34613881,78000,Diesel,Individual,Manual,Second Owner,12.55,2982,168.5,7
Maruti Swift Star VDI,2013,13.01700286,120000,Diesel,Individual,Manual,Second Owner,22.9,1248,74,5
Maruti Ertiga ZXI,2012,13.01700286,120000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,7
Volkswagen Vento Diesel Highline,2013,13.01700286,170000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,5
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,13.99783211,140000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,13.32121424,90000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5
BMW X1 sDrive20i xLine,2016,14.73180129,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998,189,5
Maruti Celerio ZXI MT BSIV,2017,13.09190211,10000,Petrol,Dealer,Manual,First Owner,23.1,998,67.04,5
Datsun GO A Petrol,2016,12.52452638,49000,Petrol,Dealer,Manual,First Owner,19.02,1198,67.05,5
Maruti Alto 800 VXI BSIV,2016,12.66032792,32000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5
Maruti Alto 800 LXI BSIV,2016,12.52452638,38000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5
Hyundai i10 Era 1.1,2012,12.5776362,28000,Petrol,Dealer,Manual,First Owner,19.81,1086,68.05,5
Maruti Omni 8 Seater BSIV,2017,12.54254488,32000,Petrol,Dealer,Manual,First Owner,14,796,35,5
Maruti Wagon R LXI LPG BSIV,2010,12.32385568,44000,LPG,Dealer,Manual,First Owner,26.2,998,58.2,5
Volkswagen Polo 1.2 MPI Comfortline,2015,13.0280527,42000,Petrol,Dealer,Manual,First Owner,16.47,1198,74,5
Hyundai i10 Magna 1.1L,2015,12.7685415,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086,68.05,5
Volkswagen Vento Petrol Highline,2012,13.19002203,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598,103.6,5
Maruti Zen Estilo LXI BSIII,2009,12.07254125,55500,Petrol,Dealer,Manual,First Owner,18.2,998,67.1,5
Hyundai i20 Asta Optional with Sunroof 1.2,2013,13.17115354,61500,Petrol,Dealer,Manual,First Owner,18.5,1197,82.85,5
Maruti Swift Dzire LDI,2016,13.30468493,150000,Diesel,Individual,Manual,First Owner,26.59,1248,74,5
Hyundai Xcent 1.2 Kappa SX Option AT,2016,13.24458101,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197,82,5
Maruti Alto LX BSIII,2008,11.69524702,68000,Petrol,Dealer,Manual,Third Owner,19.7,796,46.3,5
Hyundai i20 1.4 Asta Option,2017,13.49392693,110000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5
Maruti Wagon R VXI,2009,12.1281111,77000,Petrol,Dealer,Manual,Second Owner,21.79,998,67.05,5
Tata Manza Aura (ABS) Quadrajet,2010,12.20607265,100000,Diesel,Individual,Manual,Second Owner,18.8,1248,90,5
Maruti Swift VXI,2019,13.32937755,10000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5
Maruti Eeco 7 Seater Standard BSIV,2016,12.50617724,100000,Petrol,Individual,Manual,Third Owner,15.37,1196,73,7
Maruti Baleno Zeta 1.2,2018,13.32121424,35000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,13.34550693,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179,120,8
Ford Freestyle Titanium Petrol BSIV,2020,12.89921983,5000,Petrol,Individual,Manual,Second Owner,19,1194,94.68,5
Hyundai Verna VTVT 1.6 SX,2017,13.67164019,37800,Petrol,Individual,Manual,First Owner,17,1591,121.3,5
Volkswagen Passat 1.8 TSI MT,2010,13.45883561,114000,Petrol,Individual,Manual,First Owner,14.3,1798,160,5
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,12.61153775,48000,Petrol,Individual,Manual,First Owner,15.8,1172,65,5
Mahindra XUV500 W11 Option AWD,2019,14.34613881,32000,Diesel,Individual,Manual,First Owner,15.1,2179,155,7
Tata Indigo CS LS (TDI) BS-III,2016,12.8346813,100000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5
Hyundai Verna 1.6 SX,2013,13.16542287,150000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,13.02143525,69000,Diesel,Individual,Manual,First Owner,21.9,1396,88.76,5
Toyota Corolla Altis G,2009,12.61153775,100000,Petrol,Individual,Manual,Second Owner,14.53,1798,138.1,5
Maruti Celerio VXI,2020,13.07107008,13000,Petrol,Individual,Manual,First Owner,21.63,998,67.04,5
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,13.5670492,60000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
Maruti Swift Dzire VXI,2017,13.29631668,40000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5
Maruti Wagon R VXI BS IV,2017,12.99453001,35000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5
Nissan Terrano XL 85 PS,2014,12.89921983,70000,Diesel,Individual,Manual,Third Owner,20.45,1461,83.8,5
Hyundai Creta 1.6 CRDi SX,2016,13.94653882,50000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,13.65299163,76139,Diesel,Individual,Manual,First Owner,23,1498,98.96,5
Maruti Swift Dzire VDi,2012,12.82125828,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9,5
Renault KWID 1.0,2018,12.76568843,25000,Petrol,Individual,Manual,First Owner,23.01,999,67,5
Maruti Celerio VXI,2015,12.79385931,40000,Petrol,Individual,Manual,Second Owner,23.1,998,67.04,5
Maruti Alto LXi,2008,11.56171563,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5
Maruti Ertiga VDI,2013,13.34550693,90000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7
Hyundai Santro Xing GLS,2009,11.81303006,80000,Petrol,Individual,Manual,Second Owner,17.92,1086,62.1,5
Maruti Ertiga VDI,2015,13.45883561,110000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7
Honda Amaze S i-VTEC,2019,13.44444688,1303,Petrol,Dealer,Manual,First Owner,17.8,1198,86.7,5
Audi Q5 35TDI Premium Plus,2018,15.19553531,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968,188,5
Lexus ES 300h,2019,15.45450727,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,5
Jaguar XF 2.0 Diesel Portfolio,2017,14.97866137,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177,5
Jeep Wrangler 2016-2019 3.6 4X4,2017,15.22649753,17000,Petrol,Individual,Automatic,First Owner,9.5,3604,280,5
Land Rover Discovery Sport TD4 SE,2019,15.31958795,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999,148.31,7
Mercedes-Benz S-Class S 350 CDI,2017,15.60727003,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987,254.79,5
BMW 5 Series 520d Sport Line,2018,15.14787658,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995,187.74,5
BMW X4 M Sport X xDrive20d,2019,15.57336848,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190,5
Skoda Superb LK 1.8 TSI AT,2018,14.43877107,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798,177.46,5
Mercedes-Benz E-Class E250 Edition E,2016,14.80876233,35000,Diesel,Dealer,Automatic,First Owner,15,2143,204,5
MG Hector Sharp AT BSIV,2019,14.37512635,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451,141,5
Honda City i-VTEC CVT VX,2017,13.58609739,41000,Petrol,Dealer,Automatic,First Owner,18,1497,117.6,5
Toyota Corolla Altis 1.8 G CVT,2013,13.34550693,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5
Volvo XC40 D4 R-Design,2018,15.03928599,22000,Diesel,Dealer,Automatic,First Owner,18,1969,190,5
Audi Q7 35 TDI Quattro Premium,2015,14.7900702,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967,241.4,7
Maruti Ciaz ZDi,2015,13.19002203,40000,Diesel,Dealer,Manual,First Owner,26.21,1248,88.5,5
Mercedes-Benz S-Class S 350 CDI,2017,15.58195222,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987,282,5
BMW 5 Series 523i,2010,13.79019275,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497,150,5
Hyundai Elantra S,2016,13.59859756,49900,Petrol,Dealer,Manual,First Owner,16.3,1797,147.5,5
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,14.78059145,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177,5
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,13.60602333,11000,Petrol,Dealer,Manual,First Owner,17,1198,108.5,5
Volkswagen Vento Petrol Highline,2011,12.8346813,49000,Petrol,Individual,Manual,First Owner,15.04,1598,103.6,5
Hyundai Elantra SX,2012,13.21767356,95000,Petrol,Individual,Manual,First Owner,16.3,1797,147.5,5
Skoda Rapid 1.6 MPI AT Elegance,2016,13.3770056,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5
Mercedes-Benz CLA 200 CGI Sport,2018,14.75160392,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991,183,5
Maruti Ertiga ZXI,2014,13.30301688,46100,Petrol,Dealer,Manual,First Owner,16.02,1373,93.7,7
Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,14.80876233,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991,181.04,5
Honda City V AT,2017,13.68197917,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497,116.3,5
Toyota Glanza V CVT,2019,13.70457788,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197,81.8,5
Maruti Alto K10 VXI,2011,12.07254125,11000,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5
Maruti Swift VXI,2012,12.7367009,24300,Petrol,Dealer,Manual,First Owner,21.21,1197,81.8,5
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,14.23750497,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,7
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,13.84020317,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497,108.5,5
BMW 3 Series 320d Luxury Line,2016,14.5809784,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995,190,5
Toyota Camry 2.5 Hybrid,2016,14.45736444,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494,157.7,5
BMW 5 Series 520d Luxury Line,2016,14.88022129,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995,190,5
Toyota Camry W4 (AT),2009,13.01700286,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362,164.7,5
Maruti Ertiga BSIV ZXI Plus,2016,13.65299163,20000,Petrol,Individual,Manual,First Owner,17.5,1373,91.1,7
Volkswagen Vento Diesel Highline,2011,12.61153775,100000,Diesel,Individual,Manual,Second Owner,20.54,1598,103.6,5
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,13.26212532,9500,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5
Ford Figo Diesel LXI,2011,11.98292909,120000,Diesel,Individual,Manual,First Owner,20,1399,68,5
Maruti Swift VXI Optional,2015,13.15192218,36600,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5
Maruti Wagon R AMT VXI,2015,12.87390202,50000,Petrol,Individual,Automatic,Second Owner,20.51,998,67,5
Hyundai i20 Magna 1.2,2016,13.21767356,14000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,5
Maruti 800 Std,1999,10.59663473,40000,Petrol,Individual,Manual,Second Owner,16.1,796,37,4
Maruti Ritz VDi,2010,12.30138283,120000,Diesel,Individual,Manual,First Owner,21.1,1248,73.9,5
Hyundai Grand i10 Magna,2015,12.95984445,70000,Petrol,Individual,Manual,First Owner,18.9,1197,82,5
Volkswagen Ameo 1.0 MPI Trendline,2019,13.08154138,13000,Petrol,Individual,Manual,First Owner,19.44,999,75,5
Hyundai Grand i10 Sportz,2014,12.89921983,60000,Petrol,Individual,Manual,Second Owner,18.9,1197,82,5
Maruti Swift Dzire VXI,2014,13.0960194,35000,Petrol,Individual,Manual,First Owner,19.1,1197,85.8,5
Hyundai Xcent 1.2 Kappa S,2016,12.86359265,44000,Petrol,Individual,Manual,Second Owner,19.1,1197,82,5
Honda City 1.5 EXI,2005,11.51292546,120000,Petrol,Individual,Manual,Second Owner,13,1493,100,5
Toyota Corolla Altis Diesel D4DG,2010,12.61153775,60000,Diesel,Individual,Manual,First Owner,21.43,1364,87.2,5
Daewoo Matiz SD,2000,11.51292546,60000,Petrol,Individual,Manual,First Owner,18.5,796,53,5
Toyota Fortuner 4x2 Manual,2014,14.37512635,30000,Diesel,Individual,Manual,Second Owner,13,2982,168.5,7
Mahindra KUV 100 mFALCON G80 K8,2016,13.01700286,15000,Petrol,Individual,Manual,Second Owner,18.15,1198,82,6
Tata Zest Quadrajet 1.3 75PS XM,2017,13.10216067,90000,Diesel,Individual,Manual,First Owner,22.95,1248,74,5
Honda City 1.5 S MT,2009,12.7512997,47000,Petrol,Individual,Manual,Second Owner,17,1497,118,5
Maruti Zen LXI,2005,11.35040654,90000,Petrol,Individual,Manual,First Owner,17.3,993,60,5
Maruti Wagon R VXI BS IV with ABS,2010,12.27839331,120600,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,5
Hyundai Verna Transform SX VTVT,2010,12.67607627,100000,Petrol,Individual,Manual,Third Owner,16.2,1599,103.2,5
Maruti Swift Dzire VXI,2016,13.03897959,60000,Petrol,Individual,Manual,Second Owner,20.85,1197,83.14,5
Hyundai Getz GLS,2005,11.08214255,86000,Petrol,Individual,Manual,First Owner,15.3,1341,83,5
Hyundai Elite i20 Sportz Plus BSIV,2020,13.48700649,5000,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,5
Maruti Ciaz 1.3 Alpha,2017,13.59236701,37000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5
Tata Tigor 1.2 Revotron XZ,2019,13.16158409,14000,Petrol,Individual,Manual,First Owner,20.3,1199,84,5
Maruti Ertiga VDI,2015,13.27078338,70000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7
Honda City i VTEC S,2015,13.30468493,50000,Petrol,Individual,Manual,First Owner,17.4,1497,117.3,5
Honda Brio S MT,2014,12.5776362,60000,Petrol,Individual,Manual,Second Owner,19.4,1198,86.8,5
Maruti Wagon R LXI CNG,2016,12.79385931,50000,CNG,Individual,Manual,First Owner,26.6,998,58.16,5
Maruti Swift Dzire VXI,2017,13.21767356,50000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5
Hyundai i20 Sportz 1.2,2013,12.8346813,70000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,5
Maruti Wagon R AMT VXI,2018,12.94800999,35000,Petrol,Individual,Automatic,First Owner,20.51,998,67,5
Maruti Swift Dzire VXI 1.2,2017,13.21767356,20000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5
Maruti Alto 800 LXI,2018,12.50617724,20000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5
Maruti Swift Dzire AMT VXI BS IV,2018,13.45883561,7800,Petrol,Individual,Automatic,First Owner,22,1197,81.8,5
Maruti Swift VXI Optional,2017,13.12236338,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5
Tata Hexa XE,2019,14.03865411,15000,Diesel,Individual,Manual,First Owner,17.6,2179,147.94,7
Hyundai i20 Magna,2013,12.67607627,31377,Petrol,Individual,Manual,Second Owner,18.5,1197,82.85,5
Maruti Swift Dzire VDI,2018,13.45883561,50000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5
Maruti Wagon R VXI BS IV,2015,12.5776362,60000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5
Toyota Corolla Altis 1.8 VL AT,2012,13.21767356,100000,Petrol,Individual,Automatic,First Owner,14.53,1794,138.1,5
Honda Brio S MT,2012,12.4874851,60000,Petrol,Individual,Manual,First Owner,19.4,1198,86.8,5
Maruti Baleno Alpha Automatic,2018,13.62918098,5000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,5
Tata Safari Storme EX,2017,13.59236701,60000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7
Maruti Alto LXi,2011,11.98292909,25000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5
Renault KWID RXT,2018,12.72188581,30000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5
Datsun GO T BSIV,2017,12.70381303,80000,Petrol,Individual,Manual,Second Owner,20.63,1198,67,5
Maruti Vitara Brezza VDi Option,2017,13.56061831,75000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
Hyundai Xcent 1.2 VTVT SX,2020,13.16924696,32000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5
Maruti Alto 800 LXI,2015,12.40901349,40000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5
Hyundai i20 1.2 Sportz,2012,12.52452638,93000,Petrol,Individual,Manual,Second Owner,17,1197,80,5
Tata Zest Revotron 1.2 XT,2018,13.16158409,60000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5
Nissan Sunny XL,2014,13.21767356,37000,Petrol,Individual,Manual,First Owner,16.95,1498,97.7,5
Ford EcoSport 1.5 Petrol Titanium Plus BSIV,2018,13.72119988,15000,Petrol,Individual,Manual,First Owner,17,1497,121.36,5
Nissan Micra Active XV S,2015,12.61153775,80000,Petrol,Individual,Manual,First Owner,19.49,1198,67.04,5
Maruti Wagon R LXI Optional,2016,12.76568843,140000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5
Mahindra Ssangyong Rexton RX5,2013,13.71015004,70000,Diesel,Individual,Manual,First Owner,12.83,2696,162,7
Mahindra Quanto C8,2013,12.61153775,120000,Diesel,Individual,Manual,Second Owner,17.21,1493,100,7
Maruti Ritz LDi,2010,12.4292162,110000,Diesel,Individual,Manual,Second Owner,21.1,1248,73.9,5
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2017,13.91082074,37000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5
Renault KWID RXT,2016,12.50617724,44000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5
Maruti Ertiga VDI,2015,13.36922346,80000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7
Mahindra XUV500 W4,2015,13.38472764,125000,Diesel,Individual,Manual,First Owner,15.1,2179,140,7
Maruti Eeco 5 Seater AC BSIV,2017,12.92391,13500,Petrol,Individual,Manual,First Owner,15.37,1196,73,5
